,Name,Path,Infected
123,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,0
124,WMIADAP.exe,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,0
125,svchost.exe,C:\Windows\System32\svchost.exe,0
126,svchost.exe,C:\Windows\system32\svchost.exe,0
127,svchost.exe,C:\Windows\system32\svchost.exe,0
128,MicrosoftEdgeUpdate.exe,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,0
129,svchost.exe,C:\Windows\System32\svchost.exe,0
130,svchost.exe,None,0
131,SkypeBackgroundHost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe,0
132,svchost.exe,C:\Windows\System32\svchost.exe,0
133,svchost.exe,None,0
134,crnrkj.exe,C:\ProgramData\crnrkj.exe,1
135,VSSVC.exe,C:\Windows\system32\vssvc.exe,0
136,svchost.exe,C:\Windows\System32\svchost.exe,0
137,svchost.exe,C:\Windows\System32\svchost.exe,0
138,cmd.exe,C:\Windows\system32\cmd.exe,0
139,conhost.exe,C:\Windows\system32\conhost.exe,0
140,nbits_collector.exe,c:\tools\nbits_collector.exe,0
141,nbits_collector.exe,c:\tools\nbits_collector.exe,0
142,backgroundTaskHost.exe,C:\Windows\system32\backgroundTaskHost.exe,0
143,WmiPrvSE.exe,C:\Windows\system32\wbem\wmiprvse.exe,0
144,TrustedInstaller.exe,C:\Windows\servicing\TrustedInstaller.exe,0
145,TiWorker.exe,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.925_none_e76d4f6f260a683e\TiWorker.exe,0
146,WmiPrvSE.exe,C:\Windows\system32\wbem\wmiprvse.exe,0
147,svchost.exe,C:\Windows\system32\svchost.exe,0
148,SystemSettingsBroker.exe,C:\Windows\System32\SystemSettingsBroker.exe,0
149,msiexec.exe,C:\Windows\system32\msiexec.exe,0
150,SecHealthUI.exe,C:\Windows\SystemApps\Microsoft.Windows.SecHealthUI_cw5n1h2txyewy\SecHealthUI.exe,0
151,SecurityHealthHost.exe,C:\Windows\System32\SecurityHealthHost.exe,0
152,svchost.exe,C:\Windows\system32\svchost.exe,0
