,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
57,svchost.exe,3900,299,7968750,10446,511669,884,10364,2203736088576,22704,8,4489216,3900,28,118,99,166,0,8281250,2203705753600,34673,4384,3223,7954202,7,15671296,731,10574587,1,1
58,svchost.exe,3916,213,937500,4094,14162,884,2516,2203404017664,9724,8,2519040,3916,13,88,14,91,0,625000,2203402825728,4766,2460,1102,76512,6,9953280,754,207608,1,1
59,esif_uf.exe,3932,99,0,46,310,884,1572,2203390160896,6016,13,1523712,3932,7,64,8,65,0,156250,2203387015168,1630,1488,1,0,3,6123520,1,48,1,1
60,svchost.exe,3940,543,21250000,15442,5079236,884,59784,2203517124608,77956,8,24027136,3940,26,175,32,186,0,70312500,2203505979392,171484,23464,534,33413713,8,42991616,1512,3420568,1,1
61,LMS.exe,4052,211,781250,97,319,884,3264,87351296,9776,8,2822144,4052,11,88,14,89,0,312500,78176256,2837,2756,3,54,3,9949184,87,6804,1,1
62,PlatformMgrService.exe,4064,268,156250,520,6134,884,18868,4919173120,18508,8,18911232,4064,14,256,16,259,0,781250,4885307392,5263,18468,36,130266,4,18911232,7,275,1,1
63,svchost.exe,4076,130,156250,89,1112,884,1908,2203395375104,7104,8,1626112,4076,9,70,11,70,0,156250,2203390652416,2295,1588,0,0,1,7188480,0,0,1,1
64,RstMwService.exe,4088,147,156250,193,138118,884,1956,4380536832,7420,8,1548288,4088,9,83,10,83,0,156250,4375293952,2072,1512,0,0,5,7565312,0,0,1,1
65,LGUWPService.exe,3184,378,3125000,826,11450,884,16816,185163776,33280,8,16461824,3184,26,266,29,268,0,7187500,174100480,23350,16076,37,130862,7,34041856,3,155,1,1
66,RtkAudUService64.exe,3636,294,1093750,1293,10881,884,2620,4405837824,10216,8,2404352,3636,12,129,14,130,0,625000,4397449216,2900,2348,0,0,8,10366976,0,0,1,1
67,svchost.exe,3812,103,0,385,30558,884,1600,2203389460480,5772,8,1294336,3812,8,57,8,57,0,156250,2203385266176,3936,1264,0,0,2,5812224,0,0,1,1
68,svchost.exe,4112,138,156250,320,12962,884,1472,2203388841984,5964,8,1363968,4112,9,60,9,62,0,156250,2203386015744,1590,1332,47,24064,3,6086656,0,0,1,1
69,svchost.exe,4192,369,625000,461,18104,884,3700,2203412140032,11668,8,3051520,4192,17,100,21,101,0,781250,2203402608640,3328,2980,1,116,5,11616256,1,160,1,1
70,svchost.exe,4204,386,1250000,823,21530,884,5184,2203442638848,21668,8,4644864,4204,19,159,23,170,0,1562500,2203432640512,6418,4536,777,3188384,7,21291008,65,132000,1,1
71,MsMpEng.exe,4224,1243,31142656250,5976835,1590749496,884,4380332,2208578408448,4348612,8,1242185728,4224,191,1068,222,1263,0,538860312500,2208396931072,214527549,1213072,9307185,467829533284,51,1246949376,64273,586133121,1,1
72,jhi_service.exe,4508,137,312500,47,522,884,1424,2203400708096,6524,8,1310720,4508,9,84,10,84,0,156250,2203395465216,1749,1280,0,0,2,6647808,0,0,1,1
73,svchost.exe,4544,382,468750,375,18876,884,3908,2203423051776,13420,8,3465216,4544,24,120,26,121,0,468750,2203415695360,4222,3384,2,232,11,13541376,2,320,1,1
74,WmiPrvSE.exe,5556,436,17656250,13854,16763365,576,9672,2204258648064,414440,8,8011776,5556,20,153,21,1724,0,78125000,2203435466752,267500,7824,317,1108598,12,19230720,0,0,0,0
75,svchost.exe,5296,118,156250,31,1320,884,1528,2203389706240,6088,8,1236992,5296,8,59,9,59,0,0,2203384987648,2145,1208,0,0,1,6152192,0,0,1,1
76,svchost.exe,5272,256,312500,337,6066,884,3668,2203406979072,11744,8,2863104,5272,13,103,14,110,0,0,2203403833344,3812,2796,2,232,4,11436032,2,320,1,1
77,svchost.exe,5336,109,0,27,1186,884,1492,2203388665856,5708,8,1290240,5336,8,58,8,58,0,0,2203386568704,1929,1260,0,0,3,5808128,0,0,1,1
78,NisSrv.exe,5740,209,0,1256,1476976,884,6444,2203427385344,12836,8,5292032,5740,12,115,42,115,0,1406250,2203418910720,4845,5168,0,0,5,11837440,0,0,1,1
79,sihost.exe,6076,633,32812500,17607,1050468,1612,9428,2203514748928,36080,8,9113600,6076,20,268,23,299,1,31250000,2203499687936,18548,8900,355,1446276,9,35155968,0,0,0,1
80,svchost.exe,5392,427,5312500,1018,62848,884,7224,2203465318400,27840,8,7041024,5392,18,182,24,206,1,8125000,2203448336384,13072,6876,123,457734,7,23965696,6088,12627433,1,1
81,igfxEM.exe,5104,485,2500000,3111,69264,2660,5224,2203487436800,20756,8,5107712,5104,19,235,21,237,1,1406250,2203479064576,7343,4988,182,23697,5,20426752,5,25506,1,1
82,svchost.exe,3160,497,3750000,1713,25747,884,9744,2203547750400,38240,8,9052160,3160,24,330,30,363,1,15468750,2203521757184,21577,8840,96,389220,4,38092800,1087,2237192,1,1
83,taskhostw.exe,6148,309,5781250,11228,157610,1400,8748,2203723087872,20180,8,7925760,6148,34,183,40,191,1,4062500,2203719450624,19760,7740,79,4731236,6,19730432,1462,33787904,1,1
84,svchost.exe,6312,307,15625000,50766,2130104,884,4828,2203457077248,23988,8,4186112,6312,13,136,18,190,0,36718750,2203423469568,83234,4088,3,24443,4,17678336,0,0,1,1
85,svchost.exe,6320,169,312500,124,4340,884,2072,2203397398528,8568,8,1839104,6320,10,73,11,74,0,156250,2203393425408,3018,1796,264,5392,3,8589312,0,0,1,1
86,ctfmon.exe,6396,529,20312500,4088,133008,6320,5564,2203464323072,23624,13,5697536,6396,18,199,19,201,1,10468750,2203463794688,13510,5564,0,0,14,24178688,0,0,0,1
87,svchost.exe,6612,393,1250000,1184,46053,884,5684,2203443593216,19500,8,5406720,6612,22,160,25,162,0,937500,2203438432256,7569,5280,54,32133,8,19902464,12,100056,1,1
88,svchost.exe,7072,321,625000,917,22510,884,4456,2203491299328,23724,8,4059136,7072,17,230,18,237,1,625000,2203485458432,10531,3964,11,28056,7,23941120,0,0,1,1
89,svchost.exe,7272,193,1093750,144,3302,884,2792,2203405991936,9864,8,2445312,7272,12,82,13,83,0,781250,2203400261632,5273,2388,1,5037,6,9928704,4,16384,1,1
90,RuntimeBroker.exe,7552,805,30312500,31870,1018966,576,25796,2203735277568,59596,8,21630976,7552,41,511,51,680,1,33437500,2203650101248,71172,21124,4647,1177060,20,58028032,21,58928,1,1
91,RuntimeBroker.exe,7992,365,25312500,58125,647914,576,10664,2203636101120,33908,8,7348224,7992,20,242,27,549,1,35312500,2203481509888,84405,7176,106,947419,2,30056448,1,160,1,1
92,SettingSyncHost.exe,8164,182,781250,100,2392,576,2708,2203430891520,14888,6,2281472,8164,11,123,13,145,1,156250,2203415982080,6050,2228,1,8436,2,5849088,0,0,1,1
93,SearchIndexer.exe,7332,937,1786875000,678399,223260780,884,218356,2204036907008,240744,8,146227200,7332,77,280,111,280,0,16039375000,2203988267008,7069466,142800,9059,12432364,16,170397696,288511,6526590994,0,1
94,dllhost.exe,9012,207,312500,1057,24926,576,3508,2203690610688,11956,8,3301376,9012,17,110,27,111,0,156250,2203683463168,3565,3224,25,1605632,4,12128256,52,1155072,1,0
