,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
127,StartMenuExperienceHost.exe,7688,619,9843750,2315,38308,576,34804,2203877216256,95944,8,28119040,7688,32,869,41,1340,1,34062500,2203665666048,81154,27460,113,358062,9,80777216,821,145578,1,0
128,TextInputHost.exe,2544,652,6562500,691,8618,576,15200,2203731664896,56352,8,15470592,2544,25,609,27,622,1,8281250,2203720110080,19407,15108,13,36139,13,57380864,1,8,1,0
129,SearchApp.exe,11560,1897,28906250,24565,1700032,576,174272,2238934515712,266704,8,160083968,11560,114,1279,127,1343,1,168906250,2238919901184,386370,156332,17375,73050438,55,249917440,1575,25163757,1,0
130,ShellExperienceHost.exe,2356,826,3125000,1336,31050,576,37420,2203846279168,95424,8,25305088,2356,36,826,40,1229,1,17500000,2203827363840,43689,24712,55,52297,23,84398080,1,8,1,0
131,afreecatvpackage.exe,6348,382,312500,934,16192,8864,6272,132800512,21900,8,5177344,6348,23,204,27,214,1,1250000,115806208,7918,5056,15,728219,3,21774336,2,11,1,1
132,msedge.exe,8332,337,7343750,220,20516,10356,95348,2268359520256,153044,4,74280960,8332,17,719,33,756,1,83750000,2263985786880,89237,72540,54037,15530700,16,123998208,54387,52349074,1,1
133,msedge.exe,4344,388,13906250,217,20648,10356,45432,2268292505600,91032,4,29274112,4344,18,612,22,627,1,80781250,2263990304768,66508,28588,147441,35249391,23,77307904,175411,69853067,1,1
134,msedge.exe,3724,349,3125000,207,20552,10356,25188,2268131065856,59832,4,22409216,3724,16,598,21,612,1,12343750,2263916994560,35309,21884,43077,7187968,16,17952768,39328,14233676,1,1
135,msedge.exe,5408,608,75625000,239,20582,10356,122564,2268131065856,189988,4,65134592,5408,21,702,34,732,1,830625000,2264010076160,670433,63608,303761,93589543,18,124325888,317354,125467848,1,1
136,msedge.exe,11860,456,517968750,324,20552,10356,65940,2268131065856,110320,4,59523072,11860,17,598,26,613,1,2104843750,2263917694976,473212,58128,4131626,1151512460,16,107614208,4153449,651438774,1,1
137,msedge.exe,11496,205,781250,343,20066,10356,8276,2255258943488,20652,8,7680000,11496,14,565,18,566,1,2968750,2255242199040,6742,7500,29974,5128598,7,21073920,30239,7932497,1,1
138,msedge.exe,3952,364,3593750,222,20486,10356,69256,2268131065856,127928,4,49549312,3952,18,747,28,787,1,25625000,2264000483328,74171,48388,39263,7917524,16,9605120,43818,29275130,1,1
139,msedge.exe,11384,330,1562500,209,20488,10356,42164,2268131065856,91616,4,31436800,11384,17,691,22,707,1,12656250,2263969923072,39869,30700,32425,5533412,16,7503872,30462,13262892,1,1
140,msedge.exe,5452,267,781250,196,20488,10356,18620,2268131065856,55116,4,17047552,5452,15,594,19,595,1,5625000,2263914848256,17628,16648,29488,4174220,16,6647808,28622,12047640,1,1
