,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
66,WmiPrvSE.exe,3488,397,34062500,35483,1305356,956,13220,2.20343E+12,22380,8,13524992,3488,20,125,22,129,0,17968750,2.20343E+12,39865,13208,2488,1852082,12,21176320,2682,528752,0,0,0
67,dllhost.exe,3608,258,1406250,247,4828,828,4284,2.20342E+12,14084,8,4001792,3608,15,103,16,105,0,1875000,2.20341E+12,3836,3908,4145,2088517,12,13340672,11,3945,1,0,0
68,svchost.exe,3828,132,468750,68,2168,828,1540,2.20339E+12,6404,8,1310720,3828,8,66,9,67,0,0,2.20339E+12,1783,1280,0,0,1,6361088,0,0,1,1,0
69,dasHost.exe,3948,365,1093750,1021,112877,3828,3888,2.20341E+12,12836,8,3362816,3948,18,101,21,106,0,781250,2.2034E+12,3892,3284,0,0,5,12484608,0,0,0,0,0
70,svchost.exe,1612,228,937500,944,38736,828,2356,2.2034E+12,7748,8,2195456,1612,15,78,17,79,0,312500,2.2034E+12,2159,2144,0,0,8,7520256,0,0,1,1,0
71,msdtc.exe,3808,223,1093750,219,3386,828,3556,2.20341E+12,11300,8,2793472,3808,13,89,14,89,0,156250,2.2034E+12,3248,2728,1,116,9,9617408,5,1802400,0,1,0
72,svchost.exe,4512,291,937500,697,58592,828,4496,2.20343E+12,20672,8,4169728,4512,17,144,22,146,0,468750,2.20343E+12,5732,4072,0,0,6,20078592,0,0,1,1,0
73,svchost.exe,4580,916,206875000,111988,3663932,828,97984,2.20378E+12,121584,8,72593408,4580,88,376,211,460,0,410468750,2.20373E+12,2026417,70892,21887,855463689,18,95510528,16799,334739462,1,1,0
74,svchost.exe,4660,285,7187500,5936,221798,828,3900,2.20345E+12,21516,8,3694592,4660,14,153,16,180,0,10625000,2.20344E+12,12825,3608,0,0,9,20652032,0,0,1,1,0
75,sihost.exe,3528,612,29687500,11209,902354,1476,7236,2.20351E+12,30360,8,6950912,3528,20,284,22,299,1,28125000,2.2035E+12,9404,6788,108,442368,12,29347840,0,0,0,1,0
76,svchost.exe,4336,297,1718750,565,10986,828,4672,2.20344E+12,17248,8,4440064,4336,15,166,17,168,1,3281250,2.20344E+12,5465,4336,39,104385,5,17166336,999,2049110,1,1,0
77,svchost.exe,4316,527,5781250,1160,38917,828,9544,2.20354E+12,38584,8,8810496,4316,25,345,29,366,1,10468750,2.20353E+12,17821,8604,172,700516,6,37670912,4444,9366408,1,1,0
78,taskhostw.exe,2608,319,4687500,4744,56102,1276,7720,2.20349E+12,18768,8,7745536,2608,35,187,39,191,1,2500000,2.20349E+12,13671,7564,67,4637216,8,18907136,580,15304682,1,1,0
79,svchost.exe,1500,167,156250,125,4276,828,1996,2.2034E+12,8364,8,1806336,1500,10,73,11,74,0,156250,2.20339E+12,2511,1764,264,5392,3,8302592,0,0,1,1,0
80,ctfmon.exe,1044,422,5156250,1400,31152,1500,5928,2.20346E+12,22236,13,6070272,1044,17,192,17,193,1,3593750,2.20346E+12,6838,5928,0,0,11,21823488,0,0,0,1,0
81,svchost.exe,4416,308,937500,695,13378,828,4232,2.20344E+12,16024,8,4071424,4416,19,151,20,151,0,625000,2.20343E+12,4420,3976,11,4203,7,15441920,4,3665,1,1,0
82,explorer.exe,4880,2169,110000000,35405,824569,5052,64740,2.20399E+12,144476,8,52412416,4880,83,1025,101,1169,1,95937500,2.20391E+12,132660,51184,2833,4816521,59,134541312,86,102632,1,0,0
83,svchost.exe,5432,149,312500,93,2066,828,1792,2.2034E+12,6884,8,1773568,5432,10,79,10,80,0,156250,2.2034E+12,2050,1732,0,0,4,7045120,0,0,1,1,0
84,svchost.exe,5452,329,1406250,2050,75646,828,5612,2.2035E+12,17328,8,5066752,5452,16,151,19,262,0,937500,2.20344E+12,11663,4948,3,65860,9,14909440,5,47144,1,1,0
85,svchost.exe,5592,310,781250,215,5378,828,4288,2.20349E+12,21492,8,3928064,5592,15,230,17,237,1,1093750,2.20348E+12,6024,3836,0,0,7,21241856,0,0,1,1,0
86,StartMenuExperienceHost.exe,5824,618,13906250,5059,114474,956,30460,2.2037E+12,81460,8,22638592,5824,31,615,35,1131,1,18750000,2.20366E+12,35158,22108,254,945461,10,73699328,3710,828908,1,0,0
87,RuntimeBroker.exe,5888,378,13281250,11507,152888,956,10184,2.20352E+12,36848,8,7483392,5888,20,260,24,316,1,17500000,2.20349E+12,33953,7308,36,635862,8,31735808,1,160,1,1,0
88,SearchApp.exe,5980,1310,23281250,13167,522991,956,134948,2.2388E+12,205932,8,124792832,5980,99,1099,143,1164,1,99062500,2.23878E+12,215675,121868,9264,40111682,42,197414912,1068,23745798,1,0,0
89,RuntimeBroker.exe,6108,580,35781250,24136,397582,956,39264,2.20365E+12,63428,8,24903680,6108,28,391,33,434,1,25468750,2.20363E+12,94057,24320,1232,1988194,12,50851840,14,30296,1,1,0
90,svchost.exe,1700,234,1093750,3456,62372,828,2216,2.20341E+12,10304,8,2199552,1700,12,105,13,113,0,781250,2.20341E+12,2931,2148,3,11209,3,10448896,20,98304,1,1,0
91,SearchIndexer.exe,5320,739,28281250,44962,22236080,828,24436,2.20354E+12,42168,8,24948736,5320,49,250,52,251,0,59062500,2.20354E+12,23610,24364,962,2829590,17,43126784,2169,9244312,0,1,0
92,RuntimeBroker.exe,6628,307,5156250,4124,29814,956,4216,2.20349E+12,20728,8,3956736,6628,18,243,20,264,1,3281250,2.20348E+12,7817,3864,1198,226621,6,20168704,0,0,1,1,0
93,smartscreen.exe,6668,603,2656250,2113,332594,956,21540,2.23841E+12,53264,8,14979072,6668,32,248,119,354,1,4218750,2.23813E+12,25949,14628,35,562101,11,32579584,179,1107130,0,1,0
94,SecurityHealthSystray.exe,6708,179,1093750,77,2382,4880,1912,2.20343E+12,9416,8,1896448,6708,11,149,11,153,1,468750,2.20343E+12,2648,1852,1,4957,5,9437184,0,0,0,1,0
95,SecurityHealthService.exe,6736,583,4687500,1194,34674,828,5828,2.20344E+12,18944,8,5373952,6736,20,185,22,194,0,7187500,2.20344E+12,5588,5248,6,501157,12,18825216,1,4096,1,1,0
96,vmtoolsd.exe,6820,2272,153593750,252897,4674614,4880,32824,2.20359E+12,53980,8,32796672,6820,33,344,34,384,1,608906250,2.20357E+12,144035,32028,23275,79010913,8,54370304,294,44337425,1,1,0
97,SgrmBroker.exe,7776,105,781250,320,5254,828,4028,2.20338E+12,7680,8,3997696,7776,8,35,8,36,0,937500,2.20338E+12,2832,3904,3,83143,7,7512064,0,0,1,1,0
98,TextInputHost.exe,7824,615,2343750,553,7182,956,14508,2.20361E+12,43880,8,14737408,7824,25,466,26,476,1,2812500,2.2036E+12,12422,14392,3,29280,14,41926656,0,0,1,0,0
99,svchost.exe,8024,245,17656250,19471,76029934,828,29368,2.20344E+12,38752,8,3342336,8024,15,128,15,143,0,5937500,2.20343E+12,11752,3264,3,5279,5,13266944,0,0,1,1,0
100,svchost.exe,8080,383,5000000,505,9654,828,5056,2.20345E+12,16336,8,4550656,8080,18,141,19,176,0,937500,2.20343E+12,5310,4444,2,93690,11,16093184,1,4096,1,1,0
101,svchost.exe,8144,223,312500,291,2226,828,2900,2.20341E+12,10272,8,2674688,8144,13,81,14,82,0,468750,2.2034E+12,2780,2612,1,5393,9,10346496,0,0,1,1,0
102,svchost.exe,8180,250,468750,255,3184,828,3108,2.20343E+12,12276,8,2850816,8180,15,151,16,152,1,156250,2.20343E+12,3363,2784,1,5297,2,12242944,0,0,1,1,0
103,OneDrive.exe,6216,677,7812500,4106,177785,7340,35020,446357504,78616,8,20611072,6216,46,528,94,605,1,5156250,365731840,27850,20128,766,1153318,17,66592768,1908,1002281,1,0,0
104,SkypeApp.exe,7476,880,35937500,2712,59479,956,905864,40642486272,942532,8,497516544,7476,784,587,787,588,1,41875000,40640720896,298038,485856,15,28904250,31,62988288,41,127417,0,0,0
105,RuntimeBroker.exe,5636,199,781250,250,4404,956,3152,2.20344E+12,17884,8,2842624,5636,12,155,14,174,1,937500,2.20343E+12,5336,2776,0,0,4,16130048,0,0,1,1,0
106,RuntimeBroker.exe,3964,213,625000,397,7560,956,3192,2.20346E+12,21092,8,2248704,3964,11,163,16,215,1,937500,2.20343E+12,5711,2196,7,2574,2,13258752,0,0,1,1,0
107,svchost.exe,1252,276,1093750,190,3468,828,2712,2.20342E+12,12676,8,2502656,1252,13,124,14,128,0,156250,2.20341E+12,3502,2444,1,328,3,12693504,0,0,1,1,0
108,WWAHost.exe,3056,868,2656250,2103,162849,956,47800,2.23864E+12,86608,8,30834688,3056,52,495,299,519,1,2812500,2.23856E+12,23840,30112,6,876,28,49479680,154,2787306,1,0,0
109,ApplicationFrameHost.exe,6640,364,8125000,551,10762,956,38192,2.2036E+12,61940,8,9232384,6640,23,338,34,450,1,5156250,2.20357E+12,37774,9016,41,29931,3,33075200,0,0,1,0,0
110,svchost.exe,6604,230,156250,145,4430,828,2548,2.20342E+12,12116,8,2392064,6604,13,116,14,118,0,312500,2.20342E+12,3189,2336,0,0,3,12345344,0,0,1,1,0
111,dllhost.exe,2736,248,1093750,2319,42424,956,6172,2.20348E+12,16064,8,5447680,2736,26,159,36,160,1,312500,2.20348E+12,5889,5320,36,2734899,9,15605760,263,13303808,1,0,0
112,svchost.exe,2468,137,156250,63,1782,828,1796,2.2034E+12,11524,8,1552384,2468,9,77,10,78,0,0,2.2034E+12,2979,1516,0,0,2,11694080,0,0,1,1,0
113,svchost.exe,7732,2906,9687500,4397,1611626,828,20500,2.20349E+12,45880,8,20615168,7732,22,246,93,248,0,12343750,2.20348E+12,38752,20132,2,13505,6,46686208,256,591704,1,1,0
114,taskhostw.exe,6488,306,937500,875,17612,1276,4888,2.20346E+12,17672,8,5005312,6488,18,209,18,209,1,0,2.20346E+12,6457,4888,0,0,10,18092032,270,10167,1,1,0
115,svchost.exe,2780,167,0,69,1440,828,1832,2.20339E+12,7884,8,1679360,2780,9,65,9,69,0,156250,2.20339E+12,2090,1640,1,4136,2,8032256,1,4096,1,1,0
