,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
129,SkypeBackgroundHost.exe,5604,144,156250,144,3756,956,1920,2.20342E+12,8528,8,1880064,5604,9,109,10,109,1,0,2.20341E+12,2252,1836,0,0,4,4988928,0,0,0,0,0
130,svchost.exe,4624,205,312500,212,4448,828,2368,2.20341E+12,10320,8,2273280,4624,12,90,13,92,0,0,2.2034E+12,2746,2220,0,0,4,10530816,0,0,1,1,0
131,svchost.exe,8916,456,13593750,42760,111910511,828,28420,2.20348E+12,40928,8,9576448,8916,86,139,997,159,0,17031250,2.20347E+12,92031,9352,2,200,15,21856256,374,370908356,1,1,0
132,MpCmdRun.exe,9044,173,156250,96,1170,8732,2380,2.20339E+12,8788,8,2379776,9044,10,71,10,73,0,0,2.20339E+12,2288,2324,0,0,6,8982528,9,1032,1,1,0
133,MpCmdRun.exe,9032,286,156250,266,1642,2916,2860,2.2034E+12,10764,8,2834432,9032,12,95,13,97,0,156250,2.2034E+12,3189,2768,0,0,8,10985472,57,5534,1,1,0
134,conhost.exe,9024,157,156250,171,6922,9032,6720,2.20342E+12,13632,8,6856704,9024,11,110,12,112,0,0,2.20342E+12,3512,6696,0,0,4,13955072,0,0,0,0,0
135,VSSVC.exe,3564,171,0,87,1156,828,2148,2.2034E+12,8860,8,1929216,3564,11,74,11,74,0,312500,2.20339E+12,2324,1884,0,0,7,9068544,0,0,0,0,0
136,svchost.exe,9168,137,312500,274,7374,828,1928,2.20339E+12,8004,8,1814528,9168,10,64,11,66,0,156250,2.20339E+12,2096,1772,0,0,6,8122368,0,0,1,1,0
137,windows.exe,3700,293,451718750,656,15392,3748,47232,186384384,51064,8,28381184,3700,23,209,25,211,1,289218750,169541632,16396,27716,10,45614,7,32485376,2,219,0,0,1
138,windows.exe,4196,109,30312500,99,2768,3700,2056,64061440,8536,8,2105344,4196,11,111,11,111,1,1562500,64061440,2312,2056,1,5,3,8736768,0,0,0,0,1
139,svchost.exe,4768,462,625000,1055,22758,828,12740,2.20351E+12,20400,8,9449472,4768,29,170,30,170,0,468750,2.2035E+12,5765,9228,86,2796494,19,20787200,9,54887,1,1,0
140,cmd.exe,3616,76,312500,261,4182,4880,3956,2.20339E+12,5284,8,4050944,3616,6,45,7,74,1,0,2.20338E+12,1791,3956,2,3141,2,5402624,0,0,0,1,0
141,conhost.exe,2660,283,45156250,320198,27326516,3616,7892,2.20349E+12,24028,8,8052736,2660,16,247,17,249,1,47343750,2.20349E+12,6164,7864,18,7446,5,24588288,0,0,0,0,0
142,nbits_collector.exe,3560,51,5625000,24532,437508,3616,1104,4346920960,4060,8,1130496,3560,5,27,5,27,1,781250,4346716160,5629,1104,2088,12715776,3,4153344,4738,17373056,0,0,0
143,nbits_collector.exe,3156,220,67968750,213968,13507090,3560,177124,4593233920,180448,8,168144896,3156,28,173,28,173,1,333906250,4577165312,339961,164204,61415,1031382823,4,175439872,3283,214480927,0,0,0
144,WmiPrvSE.exe,8280,184,468750,90,1052,956,2608,2.2034E+12,9224,8,2486272,8280,11,74,11,74,0,0,2.2034E+12,2619,2428,1,16287,9,9318400,0,0,0,0,0
145,TrustedInstaller.exe,5720,137,156250,52,1100,828,1980,2.20339E+12,7652,8,1974272,5720,9,65,9,65,0,468750,2.20339E+12,1984,1928,1,4569,7,7819264,12,1282,1,1,0
146,TiWorker.exe,356,180,1718750,308,2172,956,8268,2.20342E+12,15904,8,3284992,356,12,99,13,101,0,2031250,2.20341E+12,5699,3208,91,1516541,7,11010048,27,3165,1,1,0
147,backgroundTaskHost.exe,204,228,468750,283,5754,956,3380,2.20345E+12,16504,8,3461120,204,14,175,14,175,1,156250,2.20345E+12,4241,3380,3,18958,7,16896000,0,0,1,0,0
148,svchost.exe,7728,107,468750,351,7402,828,1616,2.20339E+12,6092,8,1458176,7728,7,48,8,51,0,0,2.20338E+12,2541,1424,0,0,5,5951488,5233,82298,1,1,0
149,svchost.exe,8436,368,625000,523,47964,828,4376,2.20343E+12,15932,8,4182016,8436,18,133,19,135,0,156250,2.20343E+12,4370,4084,8,48839,10,16142336,0,0,1,1,0
150,WmiPrvSE.exe,5252,174,312500,105,1670,956,2660,2.2034E+12,9592,8,2723840,5252,12,76,12,76,0,0,2.2034E+12,2474,2660,0,0,9,9818112,0,0,0,0,0
151,dmclient.exe,6444,0,0,0,0,1276,424,2.19903E+12,1492,6,434176,6444,2,9,2,9,0,0,2.19903E+12,397,424,0,0,1,1523712,0,0,1,1,0
152,msiexec.exe,5900,173,0,178,4836,828,6168,2.20341E+12,9388,8,6316032,5900,10,108,10,108,0,156250,2.20341E+12,2460,6168,1,49647,7,9609216,0,0,0,1,0
