Last Modified,Last Update,Path,File Size,Exec Flag
04/09/21 13:54:05,N/A,C:\Windows\SysWOW64\cmd.exe,N/A,N/A
10/13/21 12:38:21,N/A,C:\WINDOWS\system32\runonce.exe,N/A,N/A
09/16/21 22:00:46,N/A,C:\Users\nuri_\anaconda3\pythonw.exe,N/A,N/A
09/16/21 22:12:49,N/A,C:\Users\nuri_\anaconda3\python.exe,N/A,N/A
12/07/19 09:09:37,N/A,C:\Windows\System32\find.exe,N/A,N/A
06/30/21 05:24:32,N/A,C:\Users\nuri_\anaconda3\Scripts\conda.exe,N/A,N/A
12/07/19 09:09:37,N/A,C:\Windows\System32\chcp.com,N/A,N/A
11/10/21 20:35:02,N/A,C:\Users\nuri_\anaconda3\_conda.exe,N/A,N/A
01/17/22 02:43:13,N/A,C:\Users\nuri_\Downloads\Anaconda3-2021.11-Windows-x86_64.exe,N/A,N/A
01/15/22 07:12:45,N/A,C:\Program Files\Microsoft OneDrive\21.245.1128.0002\FileCoAuth.exe,N/A,N/A
07/22/21 01:56:41,N/A,E:\tools\nbits_collector.exe,N/A,N/A
06/18/21 05:00:15,N/A,E:\tools\NBITSParser_MFT.exe,N/A,N/A
07/26/16 08:30:18,N/A,E:\tools\signtool.exe,N/A,N/A
01/04/22 05:06:44,N/A,C:\Program Files\Bandizip\updater.exe,N/A,N/A
01/03/22 08:52:29,N/A,C:\Program Files\Bandizip\data\RegDll.x64.exe,N/A,N/A
01/03/22 08:52:29,N/A,C:\Program Files\Bandizip\data\RegDll.x86.exe,N/A,N/A
01/04/22 08:04:47,N/A,C:\Program Files\Bandizip\Uninstall.exe,N/A,N/A
01/04/22 07:51:46,N/A,C:\Program Files\Bandizip\Bandizip.exe,N/A,N/A
01/17/22 02:18:12,N/A,C:\Users\nuri_\Downloads\BANDIZIP-SETUP-STD-X64.EXE,N/A,N/A
01/17/22 01:33:08,N/A,C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.355.1998.0.exe,N/A,N/A
01/16/22 07:32:49,N/A,C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.355.1991.0.exe,N/A,N/A
04/09/21 13:53:54,N/A,C:\Users\nuri_\AppData\Local\Temp\4648E3FC-8BE6-48E3-84B5-8EEBD27ED113\dismhost.exe,N/A,N/A
01/16/22 02:44:36,N/A,C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.355.1941.0.exe,N/A,N/A
11/12/21 03:03:27,N/A,C:\WINDOWS\system32\MusNotifyIcon.exe,N/A,N/A
10/13/21 12:38:17,N/A,C:\Windows\System32\SecurityHealthHost.exe,N/A,N/A
01/14/22 07:22:25,N/A,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2111.5-0\x86\mpcmdrun.exe,N/A,N/A
01/14/22 07:22:25,N/A,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2111.5-0\MpCopyAccelerator.exe,N/A,N/A
01/15/22 08:56:09,N/A,C:\Users\nuri_\AppData\Local\Microsoft\Teams\stage\Teams.exe,N/A,N/A
01/15/22 08:56:08,N/A,C:\Users\nuri_\AppData\Local\Microsoft\Teams\stage\Squirrel.exe,N/A,N/A
01/15/22 07:12:46,N/A,C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe,N/A,N/A
01/15/22 07:12:46,N/A,C:\Program Files\Microsoft OneDrive\21.245.1128.0002\Microsoft.SharePoint.exe,N/A,N/A
01/15/22 07:12:46,N/A,C:\Program Files\Microsoft OneDrive\OneDrive.exe,N/A,N/A
01/15/22 07:12:46,N/A,C:\Program Files\Microsoft OneDrive\21.245.1128.0002\FileSyncConfig.exe,N/A,N/A
01/14/22 07:12:45,N/A,C:\Program Files (x86)\Microsoft OneDrive\21.220.1024.0005\OneDriveUpdaterService.exe,N/A,N/A
11/12/21 03:03:39,N/A,C:\WINDOWS\system32\winsat.exe,N/A,N/A
04/09/21 13:53:54,N/A,C:\Users\nuri_\AppData\Local\Temp\5D8EA43F-C995-4681-A88D-8DA99977FD6E\dismhost.exe,N/A,N/A
10/13/21 12:38:12,N/A,C:\WINDOWS\system32\disksnapshot.exe,N/A,N/A
04/09/21 13:53:10,N/A,C:\WINDOWS\system32\dstokenclean.exe,N/A,N/A
